qjson 0.8.1-2
qt4 4.8.6-1
randrproto 1.4.0-1
raptor 2.0.13-2
rasqal 1:0.9.32-1
readline 6.3.006-1
recode 3.6-8
recordproto 1.14.2-1
redland 1:1.0.17-2
reiserfsprogs 3.6.24-1
renderproto 0.11.1-2
rsync 3.1.0-2
rtmpdump 20131205-1
ruby 2.1.2-1
run-parts 4.4-1
s-nail 14.6.4-1
samba 4.1.7-1
schroedinger 1.0.11-2
scrnsaverproto 1.2.2-1
sdl 1.2.15-6
sdl_image 1.2.12-3
sed 4.2.2-3
serf 1.3.4-1
sg3_utils 1.38-1
shadow 4.2.1-1
shared-mime-info 1.3-1
smbclient 4.1.7-1
snappy 1.1.1-1
sound-theme-freedesktop 0.8-1
soundtouch 1.8.0-1
spandsp 0.0.6pre21-2
speech-dispatcher 0.8-3
speex 1.2rc1-4
sqlite 3.8.4.3-2
startup-notification 0.12-4
subversion 1.8.9-1
sudo 1.8.10.p3-1
svga-dri 10.1.4-1
sysfsutils 2.1.0-8
systemd 212-3
systemd-sysvcompat 212-3
t1lib 5.1.2-5
taglib 1.9.1-1
talloc 2.1.0-2
tar 1.27.1-1
tcpdump 4.5.1-1
tdb 1.2.12-1
terminator 0.97-2
terminus-font 4.39-1
tevent 0.9.21-3
texinfo 5.2-2
thunar 1.6.3-1
thunar-archive-plugin 0.3.1-4
thunar-volman 0.8.0-1
thunderbird 24.5.0-1
tree 1.7.0-1
ttf-bitstream-vera 1.10-9
ttf-dejavu 2.34-1
ttf-droid 20121017-2
ttf-inconsolata 20090215-4
ttf-indic-otf 0.2-6
ttf-khmer 5.0-3
ttf-liberation 2.00.1-3
ttf-tlwg 0.5.1-1
tumbler 0.1.30-1
tzdata 2014d-1
udisks2 2.1.3-1
ufw 0.33-3
unrar 1:5.1.5-1
unzip 6.0-6
usbutils 007-1
util-linux 2.24.2-1
v4l-utils 1.0.1-1
vi 1:050325-3
vicious 2.1.3-1
videoproto 2.3.2-1
viewnior 1.4-2
vim-runtime 7.4.307-3
